,matchId,contestantId,firstName,lastName,type
ec5k5ryzlljeezhlielrilpzp,35l51noj0croxackk6i4d1zbo,4y5xl8r1nkg1n9hnjzo53v8xk,Eduardo Mario,Acevedo Cardozo,manager
4btj53npq72x75a728znu1jv9,2meyh9rdm8wf1d4xvqz4dtzis,59d4d2m78t2lqabd1m7o90std,José,Calderón,manager
8vyyqxweoulvtr0xuq7h2m7dh,6y4yw6xt5aibhzt7g9vgdtfu2,1iy5a1mzucfenathcnlhmp95a,Ronald Hugo,Fuentes Núñez,manager
7r97nwqbrq3muxme4s5llggkp,24po3gskaeax4azyjk30r3dka,cpqaizhc99tbsqm6h2cgampio,Gustavo Atilano,Florentín Morinigo,manager
8tpm57hvuglwt82tv4rex8tm1,72cjc9ptw5tb538qjy0fmylbe,7gkwmrw0cjz0m168ouw00z4gy,Ariel Enrique,Holan,manager
e0mwy06fc9p7nr8vg7ox7e6s5,18sc8umawu7jp8f65hjcnnuqy,8rpjhpm2j1q7p40zfmlqpj8am,Patricio Andrés,Graff,manager
aktqou8cmw6migdn02uab7aol,2llzoi9rg31t76n45t85znlzo,bd1veyn5g4r8zbaquf8b8pksp,Javier Omar,Bergés,manager
6r1gg9m59i7oa1q47vydwh756,8hc9gmng605wwixfjsn4v60b8,59d4d2m78t2lqabd1m7o90std,Francisco,Meneghini Correa,manager
bjx1xngjtdtqqgmwuf8hh9muh,37vm91kjjjdhjsohmnxjuj9t6,bd1veyn5g4r8zbaquf8b8pksp,Nicolás Ricardo,Larcamón,manager
7yxzrxtxom3qap0zl6nae59ed,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,Javier Luis,Torrente,manager
17160wv7ymb320ln571v9oo2d,6y4yw6xt5aibhzt7g9vgdtfu2,8puc16dm0ut6bvv6u6ivpe2ch,Ivo Alexis,Basay Hatibovic,manager
cfgc2mc4vnzvxa91we112ggl,71ghet1v7h8riqtzbcjd1afl6,eizgmllil1zrzpk6zbue0hl7m,Gustavo,Huerta Araya,manager
1mdd2tbcwb3j3ew00ovllr3rp,173c8rtrj88eptu65jks9bhg4,bw2py3aiws1rq61pokete3kv2,Juan José,Ribera,manager
4tr44hwfgw9z4uxw16061usid,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,Jaime Andrés,Vera Rodriguez,manager
drvhs7kz38eaakrf1q3i5zv11,bfibgdc0gwe27rs4cjlh0lxt6,cdj7tqbsake4a0ks5pwm23t23,Héctor Hernán,Caputto Gómez,manager
2ibgnfook43qzdnjpxmcd3dn9,18v4yo6lnrquffm7nk3fjxgtm,bw2py3aiws1rq61pokete3kv2,Germán Luis,Corengia,manager
bhyakemzo04kiyqjgyuyaagnp,bfibgdc0gwe27rs4cjlh0lxt6,2nxp7ufclxwbtaozvx5zj1zym,Francisco Andrés,Bozán Santibáñez,manager
5mnsgc0idw65i88120v6e8uz9,8hx5l7hccjkosotqxz7tfan10,ehsvy9m92bp6ktgoy6pwv8rdm,Gustavo Enrique Domingo,Quinteros Desábato,manager
aq2hay5riunvbt72bktze882d,e4et52zcrcefo2askg3hao60a,hfu6x1260h62zj7xl6cn95hx,Juan Pablo,Vojvoda,manager
25jb841eiwbcuaaz6awnej6cp,719x49v94nzl698q2kqx9wiga,1zsb1ovzidi8rft1vzw4me71m,Miguel Mauricio,Ramírez Pérez,manager
acdjg4f64qvmvkugvaphsqvah,24w5grlqt6w262h5xf9dnoj8q,1f72vqlndphmzn45x0nhdqk3e,Héctor Alfredo,Almandoz,manager
eki7yplprewn7kiomockdqwnp,18v4yo6lnrquffm7nk3fjxgtm,1f72vqlndphmzn45x0nhdqk3e,Juan Manuel,Azconzábal,manager
8p469al9e9nb4jwclzbf932l1,8hv0maqpub8hr05p84rgdklck,8rpjhpm2j1q7p40zfmlqpj8am,Dalcio,Giovagnoli,manager
c0n6x81euzmi61xafzuepq3f9,60aloysx2iauzhnfx11bkp1xw,8puc16dm0ut6bvv6u6ivpe2ch,José Luis,Sierra Pando,manager
5dy9hkgj8trgtgrh4itegu3o4,35obr9fepwmogw4nbakmxa2vo,1iy5a1mzucfenathcnlhmp95a,Juan Pablo,Ojeda,manager
exx7ckhmp547riyrumu50l27e,8hx5l7hccjkosotqxz7tfan10,4wb893al733feakm9teqqqnlg,Cristian,Leiva,manager
abxipvjq32bwsk6vdc3gtqzth,60aloysx2iauzhnfx11bkp1xw,2nxp7ufclxwbtaozvx5zj1zym,Miguel Andrés,Ponce Torres,manager
6tmf2ors889byxvbavoixlknp,35ug5l2v33nvpfys0c2qkr9qs,9dqkgu00tn42928lrrxlis95a,Fernando,Nogara,manager
a4zvjs7ay91msisylyrknwqok,2lcgr0c1fucvo1fsfo9bdqo7o,ehsvy9m92bp6ktgoy6pwv8rdm,Walter Oscar,Lemma,manager
cmd43pyz34pkxh2awmnfuzsgl,60r1qnh6c0ae22xy0t2ke3wno,bd1veyn5g4r8zbaquf8b8pksp,Damián Darío,Muñoz Galaz,manager
39jr3zrmd8o8a2zxfknjbwtlh,9op4djb93ljpuxyrewfe4h2ei,ehsvy9m92bp6ktgoy6pwv8rdm,Mario Alfredo,Salas Saieg,manager
2jphsy27z18viniaguusgerx1,9pqn0xp8a8ubg1twm305ibnmy,ehsvy9m92bp6ktgoy6pwv8rdm,Gualberto Ramón,Jara Vera,manager
2loo5uaqksse5mwgqp17eidwp,2l917o2hvl1y8vh4cjz86cjys,cdj7tqbsake4a0ks5pwm23t23,Marcelo Antonio,Jara Valdés,manager
6t2i21psdso40rbvozfkt9rl5,24m4r720dnd7dxo9r7ep138fe,8rpjhpm2j1q7p40zfmlqpj8am,Victor,Fuentes,manager
coiv12nf9f4ecvvzqe6f1qs5,2meyh9rdm8wf1d4xvqz4dtzis,cdj7tqbsake4a0ks5pwm23t23,Rafael Edgar,Dudamel Ochoa,manager
8w89paq9y3jkwcb4286h8uc45,70vwyqcnbt33kehjonqfsff56,bw2py3aiws1rq61pokete3kv2,Rafael Andres,Celedón Salazar,manager
545jypdzeybsfyosdmr4eab4l,2m2tkp88wqo6lxp39cw9wgowk,bd1veyn5g4r8zbaquf8b8pksp,Martín,Palermo,manager
