,matchId,contestantId,playerId,matchName,shirtNumber,position,positionSide,formationPlace
0,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,9hghlys8dcbpm9ci5s0i3ixg5,G. Reyes,22,Goalkeeper,Centre,1
1,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,dzvs8zk8j4rgbda6thqtserfu,L. Díaz,13,Defender,Left,3
2,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,cp9yrxkhm7fsocyen7d7xwfrp,N. Correa,2,Defender,Left/Centre,6
3,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,1ugulgez2lig6zzhphceounyt,J. Abarca,23,Defender,Centre/Right,5
4,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,atinp3f6pvlr59xf815nfcl49,A. Ramírez,14,Defender,Right,2
5,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,hj91p5o7cbehtivvgeoswct1,A. Camargo,6,Defensive Midfielder,Left/Centre,4
6,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,e0ztmxmalp3ck3tjbwe3wmfo5,L. Povea,5,Defensive Midfielder,Centre/Right,8
7,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,51mu62nt2yufzzi9qt45e3cnp,C. Waterman,10,Attacking Midfielder,Left,11
8,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,59oi89awh1na996h27otd1905,M. Cabrera,8,Attacking Midfielder,Centre,10
9,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,5io2106rxpshzsc39qigm1nth,B. Carvallo,21,Attacking Midfielder,Right,7
10,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,b5wgtt6qzb70f7r2ujf2kzlqt,G. Alles,9,Striker,Centre,9
11,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,4se88iulp9win99uybducyi8l,J. Carreño,17,Substitute,,
12,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,15s5544sklhidisn1dfnm77px,R. Leyton,1,Substitute,,
13,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,ezluhud7em2pqaxydptrd1gfe,F. Neira,24,Substitute,,
14,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,3gzp71c77a9dvvkre60xk3l78,C. Quevedo,26,Substitute,,
15,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,a7twiics4lxbx3cmji98he2fp,M. Quinteros,16,Substitute,,
16,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,i930ztveqe4ze32h5urbspas,A. San Martín,25,Substitute,,
17,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,c3edb0y454t4uwiu2yzw6un10,F. Tapia,28,Substitute,,
18,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,276g6pfpah0p1dva0bfi18hqt,Joaquín Muñoz,1,Goalkeeper,Centre,1
19,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,9j5hkfilerc8upy6zl1gpucph,N. Crovetto,15,Defender,Left,3
20,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,abb1eu1hpcrox97w3z01nxrkl,F. Torres,5,Defender,Left/Centre,6
21,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,epvt3nij5xk960wrr4omk2f2t,C. Labrin,2,Defender,Centre/Right,5
22,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,cv2m0fe5o4urquub6b5gm4t4a,N. Fernández,7,Defender,Right,2
23,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,8vrkluulimwjtncia6xiui5zp,L. Cabrera,21,Midfielder,Left,11
24,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,3i66iyijtz2p4xd7ngsc444ph,A. Martínez,10,Midfielder,Left/Centre,8
25,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,18pa8hde4d0jkbtpltej87tg5,I. Ledezma,14,Midfielder,Centre,10
26,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,ez2zexeuxf9nv1uozq2sl5iax,O. Rojas,28,Midfielder,Centre/Right,4
27,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,4f0i3c5pihp8xvnky7vrbs2xh,J. Montecinos,18,Midfielder,Right,7
28,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,1udhwk2qkh23pl0vykuj8m7rp,R. Holgado,9,Striker,Centre,9
29,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,eeqnkxrcutljzjb9moijcz6qd,G. Alvarez,32,Substitute,,
30,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,bhor1qbcwkdtuxmu9ofzabkyd,J. Devecchi,12,Substitute,,
31,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,brkd7vi8zwf9oc1xhncco4mei,B. Figueroa,17,Substitute,,
32,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,4yrdgfx2ywrejye3jt3s3udw5,J. Henríquez,11,Substitute,,
33,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,686p89evvyuod5x26nitpofoq,C. Muñoz,24,Substitute,,
34,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,757f9x11lzcug3d6sn39d85wp,J. Ramírez,19,Substitute,,
35,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,23rxggjnk33ensvafo1ebfdg5,D. Torres,6,Substitute,,
