,date,time,week,lastUpdated,description,contestant0,contestant0_position,contestant1,contestant1_position,venue_id,venue_neutral,attendance,contestant0_lineup,contestant1_lineup,score_home,score_away,winner,matchLengthMin,matchLengthSec
16ziqpcwrfxykpgdo1cz3oj6c,2020-12-12Z,23:30:00Z,23,2020-12-13T01:33:01Z,Universidad Concepción vs Audax Italiano,4y5xl8r1nkg1n9hnjzo53v8xk,home,59d4d2m78t2lqabd1m7o90std,away,c8jak571286lu98uk2345pmfr,no,0,4231,451,3,1,home,96,0
e9hmyaml8l8lvehcm4vtgffxm,2020-03-15Z,21:00:00Z,8,2020-11-22T12:43:15Z,Unión Española vs Huachipato,1iy5a1mzucfenathcnlhmp95a,home,cpqaizhc99tbsqm6h2cgampio,away,5rm4rbdvhmluflf5mbqk0ryz5,no,1741,433,4231,4,4,draw,103,20
35uxmvta1p7xfwsj4de7w16cq,2020-02-02Z,21:00:00Z,2,2020-11-22T13:12:36Z,Universidad Católica vs O'Higgins,7gkwmrw0cjz0m168ouw00z4gy,home,8rpjhpm2j1q7p40zfmlqpj8am,away,emsrfv9ufm0g1hgs7a6msgpar,no,8741,4231,4231,3,2,home,99,8
2llzoi9rg31t76n45t85znlzo,2020-11-18Z,13:30:00Z,19,2020-11-24T13:07:49Z,Curicó Unido vs Universidad Concepción,bd1veyn5g4r8zbaquf8b8pksp,home,4y5xl8r1nkg1n9hnjzo53v8xk,away,c0v9hraes3113gb4bhmdc8cc7,no,0,442,4231,2,2,draw,104,59
e4bpquhss9f0eh4i91qjpdroq,2020-09-26Z,21:30:00Z,12,2020-11-23T17:44:23Z,Audax Italiano vs Curicó Unido,59d4d2m78t2lqabd1m7o90std,home,bd1veyn5g4r8zbaquf8b8pksp,away,1wlwlq1c9rptcuwb8dqp1vppe,no,0,433,433,0,0,draw,100,6
e483wx49hik12tglkjcj3z4ve,2020-09-26Z,19:00:00Z,12,2020-11-23T14:09:36Z,Everton vs Universidad Católica,9dqkgu00tn42928lrrxlis95a,home,7gkwmrw0cjz0m168ouw00z4gy,away,47un6skvihzilcred8vzvibbp,no,0,41212,343,2,2,draw,95,53
6yulwht5v41j7ks1pd8jgc296,2020-02-17Z,00:00:00Z,4,2020-11-23T17:44:23Z,Universidad Concepción vs Curicó Unido,4y5xl8r1nkg1n9hnjzo53v8xk,home,bd1veyn5g4r8zbaquf8b8pksp,away,c8jak571286lu98uk2345pmfr,no,1256,4141,433,1,2,away,95,59
9ojvxqa64pgu8jjuloey2ymwa,2020-02-23Z,23:00:00Z,5,2020-11-14T13:28:30Z,Audax Italiano vs Palestino,59d4d2m78t2lqabd1m7o90std,home,8puc16dm0ut6bvv6u6ivpe2ch,away,8nayliomd2w5tfjjb4vlabzla,no,765,433,433,0,1,away,99,2
18ygbx2z2q3pesbr1ljpxiru2,2020-01-25Z,23:30:00Z,1,2020-11-23T18:15:27Z,Audax Italiano vs Cobresal,59d4d2m78t2lqabd1m7o90std,home,eizgmllil1zrzpk6zbue0hl7m,away,1wlwlq1c9rptcuwb8dqp1vppe,no,1467,433,4231,4,1,home,94,59
8gqoke3u7ctdhwynfiryu6xp0,2020-10-21Z,16:30:00Z,16,2020-11-24T13:07:49Z,Coquimbo Unido vs Universidad Concepción,bw2py3aiws1rq61pokete3kv2,home,4y5xl8r1nkg1n9hnjzo53v8xk,away,87zbk2w1ksko6ak4vungb5q6o,no,0,352,442,0,2,away,99,58
71urz6or373xk6iwl09hvly0a,2020-09-10Z,19:00:00Z,10,2020-11-07T15:11:06Z,Deportes Iquique vs Universidad de Chile,4wb893al733feakm9teqqqnlg,home,cdj7tqbsake4a0ks5pwm23t23,away,4tw2z4pf03t59w7jqk2h479l9,no,0,442,4312,0,2,away,95,56
9pvq78gijvvhyyc6ujqjf6g6i,2020-03-01Z,15:00:00Z,6,2020-11-07T13:52:14Z,Coquimbo Unido vs La Serena,bw2py3aiws1rq61pokete3kv2,home,2nxp7ufclxwbtaozvx5zj1zym,away,87zbk2w1ksko6ak4vungb5q6o,no,6050,433,3511,2,1,home,96,8
17et6fhgyf6mzhey69rfuhd04,2020-12-12Z,21:00:00Z,23,2020-12-12T22:59:20Z,Unión Española vs Colo Colo,1iy5a1mzucfenathcnlhmp95a,home,ehsvy9m92bp6ktgoy6pwv8rdm,away,5rm4rbdvhmluflf5mbqk0ryz5,no,0,433,433,1,2,away,98,41
e3vkr08m8zbsa20k90v2gmvsa,2020-09-25Z,21:30:00Z,12,2020-11-03T03:09:37Z,Huachipato vs La Serena,cpqaizhc99tbsqm6h2cgampio,home,2nxp7ufclxwbtaozvx5zj1zym,away,8spwr9hcck0aicsxb2f71pqr4,no,0,4231,442,1,1,draw,103,2
9oemkgs5xvboxpfmt3b1ffjai,2020-02-22Z,23:30:00Z,5,2020-11-23T14:09:36Z,Everton vs Unión La Calera,9dqkgu00tn42928lrrxlis95a,home,hfu6x1260h62zj7xl6cn95hx,away,47un6skvihzilcred8vzvibbp,no,9262,433,3412,0,1,away,97,0
6xh7e6om0s7btpyvxdqjn8iga,2020-02-10Z,21:00:00Z,3,2020-11-13T21:02:30Z,O'Higgins vs Santiago Wanderers,8rpjhpm2j1q7p40zfmlqpj8am,home,1zsb1ovzidi8rft1vzw4me71m,away,4aqkwzehjs713dlt83m7nffwz,no,3468,4231,352,2,1,home,101,17
60mfls8gz3i03rm7ngwt2nsic,2020-11-23Z,00:30:00Z,20,2020-11-23T03:09:38Z,Universidad Católica vs Deportivo Antofagasta,7gkwmrw0cjz0m168ouw00z4gy,home,1f72vqlndphmzn45x0nhdqk3e,away,emsrfv9ufm0g1hgs7a6msgpar,no,0,433,4231,5,3,home,96,7
8hlp7dbw7l4qoru8xyhrslhxw,2020-10-30Z,14:00:00Z,17,2020-11-22T02:59:28Z,Deportivo Antofagasta vs Unión La Calera,1f72vqlndphmzn45x0nhdqk3e,home,hfu6x1260h62zj7xl6cn95hx,away,3tq7ow42ae3jqxxidbhl0nmck,no,0,4231,352,3,1,home,104,14
17aseptr0oghkdrecis5a2uqc,2020-12-13Z,22:15:00Z,23,2020-12-14T00:18:19Z,Santiago Wanderers vs Everton,1zsb1ovzidi8rft1vzw4me71m,home,9dqkgu00tn42928lrrxlis95a,away,7ijsj6wfhan1bkyrwqipk7fh,no,0,442,41212,2,1,home,104,23
e9axi9mf196lpaqeizu8nbqlm,2020-03-14Z,15:00:00Z,8,2020-11-23T18:15:28Z,Cobresal vs Universidad Católica,eizgmllil1zrzpk6zbue0hl7m,home,7gkwmrw0cjz0m168ouw00z4gy,away,3n97dyxjyuzaqh3nvs1poz8ni,no,1014,41212,4231,0,1,away,98,54
6102amel9f7hdouijnqtxtlas,2020-12-03Z,23:00:00Z,21,2020-12-04T14:24:28Z,Unión Española vs Universidad Concepción,1iy5a1mzucfenathcnlhmp95a,home,4y5xl8r1nkg1n9hnjzo53v8xk,away,5rm4rbdvhmluflf5mbqk0ryz5,no,0,4141,4231,1,1,draw,98,17
6xz3yiwldqt1w7aqvq1xeicmi,2020-02-09Z,15:00:00Z,3,2020-11-22T13:12:36Z,Deportivo Antofagasta vs Universidad Católica,1f72vqlndphmzn45x0nhdqk3e,home,7gkwmrw0cjz0m168ouw00z4gy,away,3tq7ow42ae3jqxxidbhl0nmck,no,4073,433,433,2,3,away,101,34
9otzyoawtogytbhzdg1jyjlnu,2020-02-21Z,21:30:00Z,5,2020-11-22T13:12:36Z,Universidad Católica vs Deportes Iquique,7gkwmrw0cjz0m168ouw00z4gy,home,4wb893al733feakm9teqqqnlg,away,emsrfv9ufm0g1hgs7a6msgpar,no,8610,433,442,3,1,home,97,7
bf2bjt3l2nkkesrykjnkd66ay,2020-10-11Z,19:00:00Z,14,2020-11-14T13:28:30Z,Unión La Calera vs Palestino,hfu6x1260h62zj7xl6cn95hx,home,8puc16dm0ut6bvv6u6ivpe2ch,away,1i2uslf0wsygp1h6uteshqcxj,no,0,352,442,1,0,home,99,4
2lt3n7w69agx5dtse95x4q2ac,2020-11-17Z,13:30:00Z,19,2020-11-17T15:25:17Z,O'Higgins vs Palestino,8rpjhpm2j1q7p40zfmlqpj8am,home,8puc16dm0ut6bvv6u6ivpe2ch,away,4aqkwzehjs713dlt83m7nffwz,no,0,4411,4231,1,0,home,97,3
71z6grckaip7okdybrw8kmn3e,2020-09-10Z,21:30:00Z,10,2020-11-23T14:09:36Z,Everton vs Deportivo Antofagasta,9dqkgu00tn42928lrrxlis95a,home,1f72vqlndphmzn45x0nhdqk3e,away,47un6skvihzilcred8vzvibbp,no,0,41212,4222,0,0,draw,96,15
e3zaw2rsfywquz83q5hhubxwq,2020-09-27Z,19:00:00Z,12,2020-11-22T12:43:15Z,Unión Española vs Universidad de Chile,1iy5a1mzucfenathcnlhmp95a,home,cdj7tqbsake4a0ks5pwm23t23,away,5rm4rbdvhmluflf5mbqk0ryz5,no,0,433,4312,3,1,home,96,34
