,matchId,refereeId,type,firstName,lastName
0,16ziqpcwrfxykpgdo1cz3oj6c,cu7ci03zhoqbkksx3teze4z4l,Main,Christian,Rojas Concha
1,e9hmyaml8l8lvehcm4vtgffxm,146euhkvq02nt3e2xmjj2xec5,Main,Felipe,González
2,35uxmvta1p7xfwsj4de7w16cq,7q8sht2dkjxotgv6aycdquuol,Main,Julio,Bascuñán González
3,2llzoi9rg31t76n45t85znlzo,8k4mjxysjcwppmkgf3w3yyfsa,Main,Rodrigo,Carvajal
4,e4bpquhss9f0eh4i91qjpdroq,93efhfwd2ourijcp2mz0rcoa1,Main,Juan,Lara
5,e483wx49hik12tglkjcj3z4ve,x2upnj63oeg29xy6grnht6tx,Main,José,Cabero
6,6yulwht5v41j7ks1pd8jgc296,3sjku2bkvf3ucincqqrdfb5qt,Main,Cesar,Deischler Keller
7,9ojvxqa64pgu8jjuloey2ymwa,cu7ci03zhoqbkksx3teze4z4l,Main,Christian,Rojas Concha
8,18ygbx2z2q3pesbr1ljpxiru2,93efhfwd2ourijcp2mz0rcoa1,Main,Juan,Lara
9,8gqoke3u7ctdhwynfiryu6xp0,3sjku2bkvf3ucincqqrdfb5qt,Main,Cesar,Deischler Keller
10,71urz6or373xk6iwl09hvly0a,146euhkvq02nt3e2xmjj2xec5,Main,Felipe,González
11,9pvq78gijvvhyyc6ujqjf6g6i,cxwtwi9ajgsk722gyx0z1u1nt,Main,Cristián,Garay
12,17et6fhgyf6mzhey69rfuhd04,cuapik73lbjb3hs2i3mknrdn9,Main,Angelo,Hermosilla Baeza
13,e3vkr08m8zbsa20k90v2gmvsa,1gx1t3b7wly7oc5vr3wh0im6t,Main,Héctor,Jona
14,9oemkgs5xvboxpfmt3b1ffjai,anio29mkhwvnvab3u2wja44b9,Main,Cristián,Droguett
15,6xh7e6om0s7btpyvxdqjn8iga,cu7ci03zhoqbkksx3teze4z4l,Main,Christian,Rojas Concha
16,60mfls8gz3i03rm7ngwt2nsic,x2upnj63oeg29xy6grnht6tx,Main,José,Cabero
17,8hlp7dbw7l4qoru8xyhrslhxw,anio29mkhwvnvab3u2wja44b9,Main,Cristián,Droguett
18,17aseptr0oghkdrecis5a2uqc,9569319nd666f0px1osmijaad,Main,Nicolás,Gamboa
19,e9axi9mf196lpaqeizu8nbqlm,x2upnj63oeg29xy6grnht6tx,Main,José,Cabero
20,6102amel9f7hdouijnqtxtlas,cz6o200s15qzw4zd553uoxmnd,Main,Fernando,Vejar
21,6xz3yiwldqt1w7aqvq1xeicmi,146euhkvq02nt3e2xmjj2xec5,Main,Felipe,González
22,9otzyoawtogytbhzdg1jyjlnu,za51q6ddigxbui5zrqyrcatx,Main,Francisco,Gilabert
23,bf2bjt3l2nkkesrykjnkd66ay,x2upnj63oeg29xy6grnht6tx,Main,José,Cabero
24,2lt3n7w69agx5dtse95x4q2ac,cu7ci03zhoqbkksx3teze4z4l,Main,Christian,Rojas Concha
25,71z6grckaip7okdybrw8kmn3e,8k4mjxysjcwppmkgf3w3yyfsa,Main,Rodrigo,Carvajal
26,e3zaw2rsfywquz83q5hhubxwq,7q8sht2dkjxotgv6aycdquuol,Main,Julio,Bascuñán González
27,70sp712dzozu83zn19ndxgktm,cu7ci03zhoqbkksx3teze4z4l,Main,Christian,Rojas Concha
28,6yp59qgbocjekewamezodeiju,2j5huz5yiovui5mxkeuoaymll,Main,Gustavo,Ahumada
29,35obr9fepwmogw4nbakmxa2vo,anoszr3nonhgu2rok4ndw005x,Main,Piero,Maza Gomez
30,71jxvrc1ooae2mjmljls44aju,za51q6ddigxbui5zrqyrcatx,Main,Francisco,Gilabert
31,e9181nqzwbsc9ay94j8z0xkkq,za51q6ddigxbui5zrqyrcatx,Main,Francisco,Gilabert
32,6ycf7lvmrxbmwgdt933n6xw16,anoszr3nonhgu2rok4ndw005x,Main,Piero,Maza Gomez
