,name,shortName,code
4y5xl8r1nkg1n9hnjzo53v8xk,Universidad Concepción,U. Concepción,UDC
59d4d2m78t2lqabd1m7o90std,Audax Italiano,Audax,AUD
1iy5a1mzucfenathcnlhmp95a,Unión Española,Unión Española,UNE
cpqaizhc99tbsqm6h2cgampio,Huachipato,Huachipato,HUA
7gkwmrw0cjz0m168ouw00z4gy,Universidad Católica,Univ Católica,CAT
8rpjhpm2j1q7p40zfmlqpj8am,O'Higgins,O'Higgins,OHI
bd1veyn5g4r8zbaquf8b8pksp,Curicó Unido,Curicó Unido,CUR
9dqkgu00tn42928lrrxlis95a,Everton,Everton,EVE
8puc16dm0ut6bvv6u6ivpe2ch,Palestino,Palestino,CDP
eizgmllil1zrzpk6zbue0hl7m,Cobresal,Cobresal,CBR
bw2py3aiws1rq61pokete3kv2,Coquimbo Unido,Coquimbo,COQ
4wb893al733feakm9teqqqnlg,Deportes Iquique,Iquique,IQU
cdj7tqbsake4a0ks5pwm23t23,Universidad de Chile,U. de Chile,UCH
2nxp7ufclxwbtaozvx5zj1zym,La Serena,La Serena,LAS
ehsvy9m92bp6ktgoy6pwv8rdm,Colo Colo,Colo Colo,COL
hfu6x1260h62zj7xl6cn95hx,Unión La Calera,U. La Calera,UCL
1zsb1ovzidi8rft1vzw4me71m,Santiago Wanderers,Wanderers,WAN
1f72vqlndphmzn45x0nhdqk3e,Deportivo Antofagasta,Antofagasta,ANT
