,matchId,contestantId,periodId,timeMin,timeMinSec,timestamp,type,decision,outcome,playerId
0,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,2,60,59:10,2020-12-13T00:43:48Z,Goal not awarded,Cancelled,Goal,5io2106rxpshzsc39qigm1nth
1,e9hmyaml8l8lvehcm4vtgffxm,cpqaizhc99tbsqm6h2cgampio,1,47,46:46,2020-03-15T21:48:16Z,Penalty not awarded,Cancelled,Penalty,6eqxtayx7vsjujc8viicz987p
2,35uxmvta1p7xfwsj4de7w16cq,7gkwmrw0cjz0m168ouw00z4gy,1,23,22:35,2020-02-02T21:42:21Z,Goal awarded,Cancelled,No goal,d3swiv7qjcdrnf2i6y5egz6qd
3,35uxmvta1p7xfwsj4de7w16cq,7gkwmrw0cjz0m168ouw00z4gy,2,60,59:58,2020-02-02T22:36:39Z,Penalty awarded,Cancelled,No penalty,d3swiv7qjcdrnf2i6y5egz6qd
4,35uxmvta1p7xfwsj4de7w16cq,7gkwmrw0cjz0m168ouw00z4gy,2,69,68:39,2020-02-02T22:46:54Z,Goal awarded,Confirmed,Goal,4s0cgwchahxqfowf7v1edb5cl
5,2llzoi9rg31t76n45t85znlzo,bd1veyn5g4r8zbaquf8b8pksp,1,51,50:14,2020-11-18T14:22:45Z,Goal awarded,Confirmed,Goal,dy08mj43eioa2zt491zm965ii
6,2llzoi9rg31t76n45t85znlzo,bd1veyn5g4r8zbaquf8b8pksp,2,66,65:23,2020-11-18T15:01:31Z,Goal awarded,Cancelled,No goal,87z83zs05oeexy65m84jhm5zp
7,e483wx49hik12tglkjcj3z4ve,9dqkgu00tn42928lrrxlis95a,2,50,49:33,2020-09-26T20:12:08Z,Goal not awarded,Cancelled,Goal,3kgj8qv3krm0g4u8eidfdw0r9
8,6yulwht5v41j7ks1pd8jgc296,4y5xl8r1nkg1n9hnjzo53v8xk,2,71,70:38,2020-02-17T01:29:51Z,Card upgrade,Confirmed,No change,aoob5p543hjjcc0bpljyqct7t
9,6yulwht5v41j7ks1pd8jgc296,bd1veyn5g4r8zbaquf8b8pksp,2,87,86:03,2020-02-17T01:45:16Z,Penalty not awarded,Cancelled,Penalty,napvicstt332tuhec6iyx5n9
10,9ojvxqa64pgu8jjuloey2ymwa,8puc16dm0ut6bvv6u6ivpe2ch,1,3,2:22,2020-02-23T23:01:55Z,Goal not awarded,Cancelled,Goal,adh3gj9e2avq8j3ib8kbfjw7p
11,9ojvxqa64pgu8jjuloey2ymwa,59d4d2m78t2lqabd1m7o90std,2,87,86:53,2020-02-24T00:43:30Z,Goal awarded,Cancelled,No goal,1udhwk2qkh23pl0vykuj8m7rp
12,18ygbx2z2q3pesbr1ljpxiru2,59d4d2m78t2lqabd1m7o90std,1,25,25:00,2020-01-25T23:56:07Z,Goal awarded,Confirmed,Goal,brkd7vi8zwf9oc1xhncco4mei
13,e3vkr08m8zbsa20k90v2gmvsa,cpqaizhc99tbsqm6h2cgampio,1,37,36:19,2020-09-25T22:09:46Z,Penalty not awarded,Cancelled,Penalty,8ergr8nv2ljechtzrtcv6d0b9
14,e3vkr08m8zbsa20k90v2gmvsa,cpqaizhc99tbsqm6h2cgampio,2,97,96:59,2020-09-25T23:31:06Z,Card upgrade,Cancelled,Card upgraded,2mv48xbwjnyqclrsgn2oedtjp
15,9oemkgs5xvboxpfmt3b1ffjai,hfu6x1260h62zj7xl6cn95hx,2,76,75:21,2020-02-23T01:05:51Z,Goal awarded,Cancelled,No goal,b44ryatcd56jc71lloj2u3lcl
16,6xh7e6om0s7btpyvxdqjn8iga,1zsb1ovzidi8rft1vzw4me71m,2,97,96:42,2020-02-10T22:55:04Z,Card upgrade,Cancelled,Card upgraded,bvi7qxhjj54wje1qm709065ed
17,60mfls8gz3i03rm7ngwt2nsic,7gkwmrw0cjz0m168ouw00z4gy,1,29,28:39,2020-11-23T00:58:37Z,Goal not awarded,Cancelled,Goal,5hjsl94zct7s9kakzo0avb845
18,8hlp7dbw7l4qoru8xyhrslhxw,hfu6x1260h62zj7xl6cn95hx,2,63,62:53,2020-10-30T15:26:54Z,Penalty not awarded,Cancelled,Penalty,3v7tgph1d8cgw4sj3vhq9x3hl
19,6xz3yiwldqt1w7aqvq1xeicmi,1f72vqlndphmzn45x0nhdqk3e,2,97,96:16,2020-02-09T16:57:35Z,Goal not awarded,Cancelled,Goal,1pxq5s6wcmaf31abep37buz85
20,9otzyoawtogytbhzdg1jyjlnu,4wb893al733feakm9teqqqnlg,2,50,49:14,2020-02-21T22:36:35Z,Goal awarded,Confirmed,Goal,c8kksze0li7ndudwsxusykamt
21,bf2bjt3l2nkkesrykjnkd66ay,8puc16dm0ut6bvv6u6ivpe2ch,2,54,53:06,2020-10-11T20:15:00Z,Card upgrade,Cancelled,Card upgraded,2qul5ulggaduqfdn1facph0b9
